zipcode,Households!!Total,Households!!Median income (dollars),Households!!Mean income (dollars),Families!!Total,Total!!Population for whom poverty status is determined,Total!!Population for whom poverty status is determined!!SEX!!Male,Total!!Population for whom poverty status is determined!!SEX!!Female,Below poverty level!!Population for whom poverty status is determined,Percent below poverty level!!Population for whom poverty status is determined,"Total number of housing units
",Total number of Occupied housing units,Total number of vacant housing units,Total population,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Some Other Race
14171,791,70417,88473,505,1736,869,867,98,5.6,1008,791,217,1736,1528,73,7,0,0
14172,1375,76094,88253,901,3015,1525,1490,366,12.1,1702,1375,327,3019,2745,12,24,0,10
14173,87,-,61763,65,183,70,113,7,3.8,87,87,0,183,147,0,0,0,0
14174,2425,78922,100549,1762,5768,2937,2831,470,8.1,2601,2425,176,5768,5293,40,58,75,0
14201,5954,34204,59801,2098,12160,6129,6031,5426,44.6,7172,5954,1218,12545,5862,2152,158,202,2605
14202,2204,47990,102918,597,3463,1753,1710,591,17.1,2452,2204,248,3764,1952,941,13,150,516
14203,1690,48529,59247,334,2523,1201,1322,1022,40.5,1712,1690,22,2526,874,1119,9,184,155
14204,4326,26000,42767,1500,7745,3192,4553,2692,34.8,5514,4326,1188,7748,1907,4755,6,8,755
14206,9584,46842,60710,4997,22312,11217,11095,5247,23.5,10677,9584,1093,22427,15289,2858,94,932,1526
14207,10356,38951,54310,6048,25699,12482,13217,8272,32.2,11317,10356,961,25731,11256,4590,92,3805,2314
14208,4667,46940,58835,2331,11423,4894,6529,3194,28,5884,4667,1217,12731,2056,9303,13,737,76
14209,4186,49359,79438,1404,7460,3574,3886,1863,25,4729,4186,543,8373,4591,2792,80,263,250
14210,7140,51059,61424,3549,15406,7446,7960,3799,24.7,7813,7140,673,15454,12440,1314,29,207,208
14211,9685,34490,57154,5395,23824,10760,13064,8267,34.7,11498,9685,1813,23951,2501,14266,83,4733,1188
14212,4924,35517,52008,2771,13567,6497,7070,5568,41,5935,4924,1011,13603,4665,3844,127,3385,462
14213,9305,52597,70800,4605,22374,11201,11173,5977,26.7,11397,9305,2092,23072,11680,4284,143,2814,1896
14214,8422,56573,80376,4121,19909,10403,9506,5034,25.3,9280,8422,858,21162,10236,6774,62,2284,504
14215,17139,43326,59485,9983,41384,18410,22974,12433,30,19203,17139,2064,42813,6782,29292,76,2850,1328
14216,11859,70260,93643,5172,23159,10849,12310,3210,13.9,12773,11859,914,23221,16855,3731,133,297,1008
14217,10855,72205,86015,5137,22170,10432,11738,2463,11.1,11280,10855,425,22566,19013,1231,87,188,327
14218,8755,50484,66354,4770,20552,9667,10885,4415,21.5,9478,8755,723,20661,15555,2779,78,156,1070
14219,5298,75465,83065,3175,10894,5170,5724,1372,12.6,5612,5298,314,10894,9687,169,3,206,270
14220,10297,68337,83687,5941,23674,11492,12182,2903,12.3,11286,10297,989,23786,19260,1429,83,466,1040
14221,24193,101275,127872,14590,54029,26234,27795,3685,6.8,25281,24193,1088,55153,46896,954,62,4266,720
14222,6817,83692,120237,2410,13682,6876,6806,1288,9.4,7355,6817,538,15440,11730,1859,123,378,304
14223,10247,83528,102204,6126,22308,10997,11311,1993,8.9,10586,10247,339,22363,19032,1047,10,1097,179
14224,18448,76250,93145,10651,40866,19872,20994,3160,7.7,19286,18448,838,41101,38506,1024,28,156,317
14225,15739,65562,78542,8465,33476,16363,17113,3406,10.2,16253,15739,514,33801,25210,4442,70,891,817
14226,12614,83023,116922,7139,28716,14161,14555,2659,9.3,13282,12614,668,29482,22323,2950,29,2196,335
14227,10075,67349,80300,5538,21299,9958,11341,1397,6.6,10476,10075,401,21669,18296,1716,19,675,286
14228,10119,72426,92879,4902,23928,12049,11879,3830,16,10601,10119,482,24345,18426,1319,109,3262,100
14260,0,-,-,0,0,0,0,0,-,0,0,0,857,487,167,6,143,21
14261,0,-,-,0,0,0,0,0,-,0,0,0,4970,2584,796,53,883,160
14301,5924,37650,50662,2664,11260,5750,5510,3747,33.3,7285,5924,1361,11448,6946,2977,86,277,240
14302,115,-,N,0,115,0,115,115,100,130,115,15,209,92,105,0,0,0
14303,2871,45519,54729,1380,6155,2942,3213,1532,24.9,3505,2871,634,6210,3416,886,63,234,457
14304,12915,64756,80071,7945,28824,14447,14377,3578,12.4,13705,12915,790,28965,25200,1009,125,484,380
14305,7253,49588,68797,3953,16181,7926,8255,4049,25,8348,7253,1095,16433,9396,4060,184,200,379
14411,5052,53626,66752,2839,10980,5293,5687,2144,19.5,5683,5052,631,12479,10609,1090,61,17,159
14413,14,-,N,14,81,67,14,81,100,42,14,28,81,44,0,0,0,17
14414,2859,73964,103764,1843,6679,3284,3395,538,8.1,2950,2859,91,6722,6282,84,22,29,23
14415,42,-,74214,35,132,58,74,20,15.2,56,42,14,132,132,0,0,0,0
14416,1505,80298,93438,1069,3892,1985,1907,277,7.1,1620,1505,115,3908,3655,28,1,70,66
14418,450,53750,73450,281,1147,634,513,132,11.5,890,450,440,1147,996,2,0,142,0
14420,7657,69716,88575,4563,17602,8489,9113,2480,14.1,8245,7657,588,20097,16894,1099,23,428,588
14422,638,81765,107648,486,1693,800,893,153,9,700,638,62,1693,1481,34,0,0,19
14423,2046,80129,102699,1371,4829,2367,2462,237,4.9,2166,2046,120,4829,4205,138,0,52,148
14424,12896,79135,105473,7431,28055,13581,14474,2367,8.4,14482,12896,1586,28851,26524,383,0,127,407
14425,5186,92010,104185,3580,13382,6559,6823,1163,8.7,5414,5186,228,13582,11946,423,0,209,21
14427,872,63571,73612,525,1875,994,881,269,14.3,1024,872,152,1875,1736,27,7,0,12
14428,3306,86711,104449,2215,7973,4062,3911,566,7.1,3491,3306,185,7986,7455,31,4,34,189
14432,2126,69750,90615,1319,5438,2437,3001,732,13.5,2347,2126,221,5583,4888,37,17,22,28
14433,1640,67656,76905,1086,4319,2273,2046,732,16.9,1784,1640,144,4319,4017,72,5,2,66
14435,1093,68472,116410,699,2392,1240,1152,300,12.5,1490,1093,397,2398,2189,0,0,0,12
14437,3983,64807,85893,2449,8957,4718,4239,939,10.5,4469,3983,486,8970,8408,120,1,68,195
14441,108,68571,79534,76,339,186,153,70,20.6,193,108,85,339,320,4,0,4,5
14445,3486,72250,76352,1805,7592,3954,3638,616,8.1,3661,3486,175,7604,6818,378,29,35,116
14450,18398,109543,130922,11945,42635,20611,22024,2146,5,19054,18398,656,43063,38903,705,8,1016,197
14453,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
14454,3432,66629,92516,1846,8040,3568,4472,1852,23,3937,3432,505,11044,9615,351,29,388,193
14456,8183,74691,96886,4491,17522,8808,8714,2516,14.4,9087,8183,904,19864,15725,1322,21,431,931
14462,264,77368,82870,186,765,348,417,168,22,273,264,9,765,650,0,0,0,0
14463,122,48889,64657,40,258,68,190,27,10.5,137,122,15,258,252,0,2,4,0
14464,2650,75583,93211,1970,6676,3355,3321,772,11.6,2907,2650,257,6725,6367,108,0,0,14
14466,643,101607,121543,576,1656,882,774,23,1.4,672,643,29,1656,1625,0,0,0,11
14467,4490,88548,95454,2838,10449,4898,5551,837,8,4561,4490,71,10468,8400,651,3,936,50
14468,6981,97476,111737,5427,19103,9778,9325,1074,5.6,7245,6981,264,19119,17465,280,23,25,235
14469,2623,70914,92440,1747,5785,2852,2933,449,7.8,2904,2623,281,5789,5627,6,10,12,12
14470,3333,63201,100147,2167,7765,3975,3790,798,10.3,3436,3333,103,7765,7155,151,4,55,71
14471,1339,75873,84629,840,2737,1487,1250,102,3.7,2034,1339,695,2792,2610,118,0,6,12
14472,3466,128456,152942,2573,9123,4641,4482,324,3.6,3524,3466,58,9156,8412,111,0,100,29
14475,105,121382,164186,80,253,147,106,10,4,105,105,0,253,249,0,0,4,0
14476,946,92708,100070,701,2456,1303,1153,117,4.8,1016,946,70,2456,2183,7,0,2,37
14477,666,93558,111218,520,1779,922,857,105,5.9,851,666,185,1779,1660,35,0,1,9
14478,340,93235,135987,227,639,362,277,6,0.9,775,340,435,1393,1361,11,0,0,10
14479,31,-,N,17,61,17,44,14,23,31,31,0,61,61,0,0,0,0
14480,266,54618,79299,137,532,192,340,53,10,504,266,238,532,445,0,0,0,0
14481,802,76154,91544,551,1879,929,950,192,10.2,827,802,25,1883,1757,4,3,0,11
14482,3705,77581,82941,2158,8036,3827,4209,715,8.9,3889,3705,184,8233,7861,103,5,31,8
14485,1601,79375,94524,1014,3927,2018,1909,403,10.3,1789,1601,188,4163,3762,26,0,75,62
14486,133,-,115715,73,374,107,267,81,21.7,133,133,0,374,212,6,0,0,0
14487,2260,90714,101543,1548,5509,2785,2724,310,5.6,2456,2260,196,5632,5375,2,0,0,53
14489,2672,67169,76482,1624,6777,3062,3715,966,14.3,3065,2672,393,7016,6179,176,47,0,152
14502,4607,83224,106696,3115,10471,5114,5357,910,8.7,4769,4607,162,10515,9370,138,0,313,67
14504,710,61172,75559,410,1646,789,857,178,10.8,743,710,33,1655,1539,15,3,38,0
14505,2095,86188,100058,1387,5098,2591,2507,420,8.2,2201,2095,106,5165,4789,0,6,11,249
14506,434,95625,148820,252,860,372,488,96,11.2,434,434,0,866,794,6,0,0,0
14507,472,74063,103048,322,1230,640,590,112,9.1,778,472,306,1233,1171,29,0,0,0
14510,1940,61099,76301,1060,4565,2395,2170,671,14.7,2190,1940,250,4781,4329,41,11,0,132
14511,168,54958,79139,154,529,308,221,0,0,168,168,0,529,459,0,0,0,0
14512,2016,69808,86983,1406,4891,2516,2375,823,16.8,2717,2016,701,4908,4683,6,12,38,6
14513,5876,61117,74835,3286,13274,6647,6627,2007,15.1,6202,5876,326,13501,11001,444,144,108,462
14514,2589,80453,100160,1590,5965,2886,3079,333,5.6,2715,2589,126,5979,5126,370,5,66,112
14515,93,-,73573,28,146,89,57,0,0,118,93,25,146,146,0,0,0,0
14516,829,71902,85889,483,2184,1179,1005,413,18.9,1062,829,233,2184,1932,154,0,38,34
14517,1147,58045,79530,663,2558,1377,1181,459,17.9,1207,1147,60,2588,2405,40,1,0,7
14519,5082,91331,103059,3591,12484,6211,6273,708,5.7,5281,5082,199,12487,11440,170,21,55,103
14521,1186,59700,87311,681,2920,1601,1319,583,20,1566,1186,380,3282,2859,262,2,2,77
14522,4023,80368,93824,2508,9230,4616,4614,722,7.8,4313,4023,290,9230,8692,67,10,150,46
14525,1028,81711,94636,700,2528,1300,1228,225,8.9,1083,1028,55,2532,2345,11,0,0,18
14526,7857,110566,131776,5437,19091,8978,10113,863,4.5,8231,7857,374,19348,17133,225,0,388,258
14527,4836,65212,87965,3137,12126,5728,6398,1618,13.3,6252,4836,1416,12444,11858,61,0,20,172
14529,35,70625,56143,26,76,40,36,9,11.8,35,35,0,76,76,0,0,0,0
14530,2415,66168,81705,1628,6069,3118,2951,667,11,2808,2415,393,6396,5518,301,11,0,389
14532,1680,71667,82376,979,3915,1986,1929,423,10.8,1873,1680,193,3933,3702,25,0,0,69
14533,707,68565,85892,474,1745,933,812,218,12.5,746,707,39,1754,1511,33,0,0,152
14534,12699,144832,200664,9700,33130,15861,17269,820,2.5,12913,12699,214,33361,27512,773,1,2758,299
14536,307,62348,65307,136,663,330,333,76,11.5,369,307,62,663,499,2,0,41,48
14537,126,-,79525,64,217,132,85,0,0,126,126,0,217,209,0,0,0,0
14539,47,121250,121870,27,115,38,77,0,0,47,47,0,115,115,0,0,0,0
14541,845,78125,95730,639,2494,1229,1265,415,16.6,1115,845,270,3523,2641,588,0,4,111
14542,20,-,N,20,33,0,33,0,0,20,20,0,33,33,0,0,0,0
14543,1368,118868,126920,970,3201,1643,1558,135,4.2,1379,1368,11,3301,2937,57,0,105,0
14544,925,58173,100414,676,2274,1069,1205,182,8,1256,925,331,2274,2156,3,0,19,0
14545,54,103250,102831,41,136,55,81,0,0,54,54,0,136,128,0,0,0,0
14546,1989,82578,96389,1165,4557,2274,2283,389,8.5,2225,1989,236,4585,4229,149,1,6,22
14548,1572,84943,103017,997,3671,1870,1801,372,10.1,1651,1572,79,3695,3331,12,0,3,268
14549,148,-,36397,108,404,108,296,269,66.6,264,148,116,404,404,0,0,0,0
14550,571,56250,74424,356,1265,574,691,141,11.1,651,571,80,1273,1261,0,0,0,7
14551,2344,53462,70185,1299,4880,2595,2285,946,19.4,2673,2344,329,4969,3849,588,29,4,102
14555,604,77500,101916,376,1206,670,536,78,6.5,1015,604,411,1206,1044,66,0,0,0
14556,0,-,-,0,17,13,4,6,35.3,0,0,0,902,463,317,17,2,61
14557,49,-,106427,44,139,55,84,0,0,64,49,15,139,103,0,0,11,0
14559,7136,91021,118562,4905,17628,8935,8693,931,5.3,7412,7136,276,17646,16357,233,21,49,157
14560,1069,74306,83336,658,2355,1191,1164,198,8.4,1279,1069,210,2392,2190,0,0,2,34
14561,943,76743,88896,612,2196,1123,1073,240,10.9,1004,943,61,2198,2148,13,0,0,0
14564,6762,111293,143405,4649,16224,7762,8462,537,3.3,7021,6762,259,16257,14735,221,0,594,67
14568,2593,103750,108574,1786,6023,2894,3129,235,3.9,2668,2593,75,6023,5485,34,0,91,246
14569,2953,61809,78211,1770,6218,3013,3205,878,14.1,3314,2953,361,6372,6141,56,0,0,60
14571,408,81000,92394,271,1001,515,486,124,12.4,631,408,223,1001,809,104,22,0,59
14572,1795,68125,84032,1283,4614,2265,2349,704,15.3,2288,1795,493,4745,4296,30,0,0,102
14580,23728,95499,120943,15030,53996,25672,28324,2855,5.3,24355,23728,627,54466,48428,1428,27,1695,270
14585,107,40074,60932,58,167,71,96,16,9.6,107,107,0,167,167,0,0,0,0
14586,4795,122833,123262,3246,12883,5922,6961,1755,13.6,5108,4795,313,13056,9162,866,5,1958,472
14588,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
14589,3093,84806,97716,2277,7898,4003,3895,602,7.6,3396,3093,303,7904,7243,190,2,0,85
14590,2330,56026,67646,1382,5213,2762,2451,1037,19.9,3383,2330,1053,5264,4747,99,27,7,165
14591,634,84750,96108,435,1453,767,686,114,7.8,686,634,52,1453,1329,0,0,0,56
14592,57,72344,87704,57,119,57,62,0,0,68,57,11,119,119,0,0,0,0
14604,1952,63672,89904,227,2649,1298,1351,590,22.3,2367,1952,415,2708,1586,308,0,245,176
14605,4454,23255,48240,2511,11589,5253,6336,5029,43.4,5141,4454,687,11796,2325,5856,25,644,1670
14606,10907,57287,74261,7073,27333,13575,13758,5281,19.3,11712,10907,805,27478,15164,7224,75,957,1717
14607,10936,56270,80090,2338,17114,8996,8118,2695,15.7,11971,10936,1035,17577,14043,1467,15,378,403
14608,5964,39537,55102,2313,12270,5751,6519,3896,31.8,6935,5964,971,12417,3637,6324,14,472,332
14609,17784,61933,76756,9631,39937,18166,21771,7406,18.5,19404,17784,1620,40171,19990,11644,100,829,3455
14610,7233,83260,130765,2993,13829,6586,7243,1658,12,7823,7233,590,14082,11635,916,16,388,350
14611,7246,29870,44626,4031,16999,8153,8846,6535,38.4,8292,7246,1046,17595,4249,10030,114,263,689
14612,15328,81598,97331,9318,34795,17384,17411,2436,7,16063,15328,735,35339,28778,3478,36,313,759
14613,5713,33370,48016,3287,14651,6446,8205,4874,33.3,6561,5713,848,14740,4192,7055,9,1165,645
14614,140,63452,88183,52,341,220,121,118,34.6,142,140,2,1112,357,607,16,10,16
14615,7880,53150,73533,4298,18243,8713,9530,3704,20.3,8258,7880,378,18255,9647,5472,22,503,1052
14616,11518,62564,76899,6346,26597,12830,13767,3889,14.6,12281,11518,763,26837,18956,3593,147,731,1269
14617,9300,89530,109833,6064,21228,9969,11259,1156,5.4,9747,9300,447,21287,18699,866,4,191,288
14618,8614,122647,188042,6041,21586,10644,10942,1185,5.5,9003,8614,389,24621,19911,1094,55,1976,217
14619,5376,66345,80095,3325,14144,6575,7569,2352,16.6,5891,5376,515,14223,3051,9782,8,197,118
14620,11956,59525,78013,3569,21079,10682,10397,4044,19.2,13060,11956,1104,22866,15755,2777,19,2027,849
14621,13090,36534,53781,7447,32647,15394,17253,10600,32.5,15013,13090,1923,33349,7914,14513,198,376,6218
14622,5848,73683,96260,3635,12794,6372,6422,1396,10.9,6047,5848,199,12794,10134,830,7,784,357
14623,8877,61088,74079,4070,19186,9965,9221,3240,16.9,9612,8877,735,25689,17859,2265,66,3754,163
14624,15421,86046,98536,10614,38022,18600,19422,3246,8.5,15865,15421,444,38834,31053,3647,29,1245,890
14625,4834,107246,132779,3005,10620,5315,5305,833,7.8,5153,4834,319,10667,9231,171,9,130,88
14626,12945,78785,96160,7454,29059,13778,15281,2266,7.8,13717,12945,772,29210,23480,2668,8,993,289
14627,0,-,-,0,0,0,0,0,-,0,0,0,3008,1989,239,15,527,36
14642,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
14701,17004,50909,65320,9297,38420,18436,19984,7784,20.3,19469,17004,2465,39207,34264,1150,49,168,1370
14706,2576,76029,92133,1717,6101,3110,2991,874,14.3,2828,2576,252,6118,5401,191,113,104,5
14707,58,38750,58040,14,108,56,52,30,27.8,95,58,37,113,104,0,0,0,0
14708,48,73750,68800,34,139,75,64,4,2.9,86,48,38,139,119,0,0,0,15
14709,525,51042,68952,333,1185,624,561,155,13.1,857,525,332,1190,1118,7,0,23,7
14710,1287,64782,84185,863,2912,1478,1434,274,9.4,2146,1287,859,2951,2854,0,23,0,0
14711,628,59828,71064,369,1850,871,979,178,9.6,896,628,268,1861,1827,0,3,1,0
14712,1477,77423,112800,916,3014,1537,1477,307,10.2,2273,1477,796,3079,2976,2,7,9,3
14714,195,102125,98779,165,556,288,268,69,12.4,241,195,46,556,548,0,0,7,0
14715,985,51641,62526,618,2359,1199,1160,490,20.8,1259,985,274,2374,2313,19,0,5,1
14716,714,54697,64117,467,1792,853,939,387,21.6,826,714,112,2343,1635,241,27,22,216
14717,327,77813,102425,189,612,358,254,68,11.1,1004,327,677,612,610,0,0,0,0
14718,726,58594,75646,494,1840,1026,814,245,13.3,927,726,201,1961,1708,169,3,10,22
14719,1399,61115,71927,854,3297,1756,1541,452,13.7,1859,1399,460,3334,3204,5,10,3,26
14720,346,43333,58023,191,829,418,411,114,13.8,376,346,30,853,739,2,17,6,27
14721,87,53984,60287,62,176,80,96,28,15.9,120,87,33,176,173,0,0,0,0
14722,133,-,156881,54,205,117,88,56,27.3,1271,133,1138,292,259,27,0,0,4
14723,430,63611,75163,308,1060,575,485,254,24,559,430,129,1060,1033,0,0,4,3
14724,953,77679,87612,740,3099,1525,1574,239,7.7,1288,953,335,3099,2988,3,0,10,4
14726,605,62679,72381,486,2681,1318,1363,643,24,754,605,149,2681,2640,2,1,0,12
14727,2083,67316,79606,1381,4971,2442,2529,551,11.1,2759,2083,676,5039,4810,7,17,54,43
14728,364,62143,100874,213,856,437,419,45,5.3,997,364,633,856,856,0,0,0,0
14729,380,70000,72463,198,763,416,347,85,11.1,535,380,155,768,745,8,0,0,11
14731,576,64091,81597,334,1193,629,564,123,10.3,2501,576,1925,1198,1166,1,7,0,0
14732,13,-,27231,8,26,18,8,5,19.2,25,13,12,26,26,0,0,0,0
14733,1413,56157,72774,883,3188,1547,1641,371,11.6,1626,1413,213,3201,2921,21,0,11,24
14735,916,66842,75119,691,2604,1271,1333,322,12.4,1300,916,384,2609,2551,0,3,20,0
14736,84,90500,112733,69,210,86,124,3,1.4,320,84,236,210,210,0,0,0,0
14737,1697,56780,74784,1108,4071,1910,2161,725,17.8,2546,1697,849,4071,3626,7,45,10,24
14738,1390,70000,72317,937,3496,1684,1812,469,13.4,1714,1390,324,3550,3430,0,8,0,3
14739,1030,51121,58869,595,2460,1305,1155,744,30.2,1455,1030,425,2494,2426,17,3,0,10
14740,470,61111,72524,322,1169,563,606,234,20,557,470,87,1283,1251,6,0,0,9
14741,813,76534,82187,576,1953,991,962,131,6.7,1272,813,459,1957,1851,1,2,0,46
14742,59,-,106510,22,104,22,82,0,0,104,59,45,104,104,0,0,0,0
14743,839,56397,71215,608,2083,1091,992,371,17.8,1111,839,272,2095,1902,1,0,5,0
14744,442,82500,89351,317,1427,686,741,243,17,552,442,110,2186,2007,66,4,48,11
14747,861,52902,68490,530,2017,1083,934,276,13.7,997,861,136,2035,1959,0,0,12,20
14748,232,45000,82885,139,481,254,227,46,9.6,299,232,67,481,438,0,43,0,0
14750,1954,67083,105524,1237,4411,2208,2203,359,8.1,2352,1954,398,4411,4103,37,0,11,22
14752,77,92656,99864,34,171,103,68,9,5.3,109,77,32,171,160,5,0,0,0
14753,436,44167,55778,229,923,417,506,145,15.7,497,436,61,929,885,6,12,0,12
14754,294,60500,89672,160,633,329,304,113,17.9,368,294,74,633,625,0,0,0,0
14755,1154,61346,72617,690,2743,1407,1336,520,19,1487,1154,333,2834,2684,42,64,4,16
14756,0,-,-,0,0,0,0,0,-,119,0,119,0,0,0,0,0,0
14757,1338,63542,91435,764,2832,1331,1501,535,18.9,2181,1338,843,3112,2805,57,10,10,51
14760,7987,52569,70779,4309,17013,8378,8635,3583,21.1,8917,7987,930,17272,15455,328,112,309,139
14767,792,62935,79178,576,2156,1085,1071,222,10.3,880,792,88,2156,2103,0,1,6,19
14769,322,60132,72125,218,849,492,357,181,21.3,380,322,58,849,837,0,0,0,4
14770,1242,52683,67457,756,2787,1436,1351,410,14.7,1299,1242,57,2805,2617,45,2,11,15
14772,1671,78393,82430,1148,4392,2195,2197,654,14.9,1936,1671,265,4431,4227,33,5,0,10
14774,70,-,94156,62,267,133,134,46,17.2,80,70,10,322,284,0,0,0,0
14775,898,50061,65646,603,2272,1197,1075,289,12.7,1170,898,272,2272,2152,0,2,18,35
14777,169,62768,65722,129,528,267,261,71,13.4,577,169,408,531,480,0,0,16,0
14778,0,-,-,0,13,6,7,11,84.6,0,0,0,1428,1226,105,0,37,32
14779,2851,40933,61909,1763,6679,3237,3442,1505,22.5,3519,2851,668,6791,4679,150,1214,15,145
14781,753,65134,76295,499,1790,832,958,244,13.6,900,753,147,1859,1708,4,0,12,14
14782,901,62292,69082,620,2010,1017,993,265,13.2,1166,901,265,2010,1918,28,4,0,0
14783,49,-,82784,28,83,32,51,10,12,122,49,73,83,23,0,45,0,0
14784,352,95227,91712,278,950,481,469,91,9.6,434,352,82,950,869,8,0,0,0
14785,0,-,-,0,0,0,0,0,-,32,0,32,0,0,0,0,0,0
14787,2338,47656,70313,1039,4772,2354,2418,821,17.2,2669,2338,331,4863,4586,8,98,153,0
14788,26,-,N,26,90,74,16,13,14.4,52,26,26,95,35,57,0,0,1
14801,1922,62422,74785,1252,5329,2861,2468,969,18.2,2360,1922,438,5415,5176,32,23,2,42
14802,583,44659,67440,225,1284,739,545,421,32.8,675,583,92,4627,3334,547,45,238,290
14803,574,58537,70613,333,1491,598,893,428,28.7,708,574,134,1491,1461,10,0,5,0
14804,542,74250,87649,396,1482,657,825,175,11.8,772,542,230,1501,1421,1,0,39,1
14805,339,54009,67313,177,723,355,368,153,21.2,484,339,145,723,675,10,6,0,0
14806,769,75368,88757,569,2127,1084,1043,323,15.2,998,769,229,2131,2083,0,1,7,6
14807,1168,64722,82406,747,2865,1418,1447,234,8.2,1385,1168,217,2865,2688,17,38,0,44
14808,240,36250,57398,156,470,252,218,157,33.4,240,240,0,470,452,0,0,3,0
14809,993,62868,81722,676,2908,1647,1261,702,24.1,1239,993,246,2921,2691,1,0,1,85
14810,5351,48613,63299,2727,10945,5268,5677,1875,17.1,6110,5351,759,11412,10740,331,9,13,36
14812,1221,58516,84681,780,2957,1546,1411,307,10.4,1345,1221,124,2961,2756,22,0,10,42
14813,953,68750,82366,609,2332,1233,1099,364,15.6,1274,953,321,2465,2394,45,0,3,1
14814,737,105625,129019,546,2038,1011,1027,128,6.3,737,737,0,2047,1914,14,0,96,0
14815,321,61875,85999,191,704,382,322,117,16.6,739,321,418,725,656,0,0,0,7
14816,225,46417,63784,141,502,233,269,36,7.2,250,225,25,502,454,0,2,0,40
14817,1301,86063,96890,686,2806,1360,1446,265,9.4,1358,1301,57,2811,2324,49,0,63,68
14818,815,84946,121067,619,1819,899,920,186,10.2,1171,815,356,1819,1763,0,0,8,18
14819,234,53750,62961,145,616,304,312,229,37.2,358,234,124,633,614,0,0,0,0
14820,215,63750,87074,135,556,264,292,97,17.4,278,215,63,556,554,0,0,0,0
14821,1143,76830,88006,912,2979,1523,1456,375,12.6,1357,1143,214,3015,2858,14,0,4,35
14822,360,64100,75582,243,819,448,371,137,16.7,516,360,156,826,805,0,0,0,4
14823,1439,64614,77105,960,3694,1940,1754,388,10.5,1856,1439,417,3697,3422,2,11,128,30
14824,309,60417,101387,256,776,438,338,95,12.2,329,309,20,778,740,20,1,0,0
14825,332,60900,91346,204,746,317,429,100,13.4,362,332,30,746,731,1,0,0,0
14826,847,69088,81479,661,2134,1023,1111,298,14,1104,847,257,2134,2061,15,0,0,3
14827,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
14830,8493,73831,103350,4983,18579,8953,9626,2143,11.5,9324,8493,831,18752,17087,631,2,345,131
14836,483,71487,77487,238,910,485,425,69,7.6,547,483,64,915,864,0,0,0,0
14837,2030,68431,88250,1299,5472,2824,2648,960,17.5,2983,2030,953,5633,5374,59,6,1,7
14838,834,70000,82670,566,2051,1059,992,191,9.3,901,834,67,2150,2069,7,0,0,12
14839,250,76250,89526,184,553,276,277,50,9,375,250,125,553,545,0,0,7,0
14840,1203,84663,108900,816,2509,1298,1211,107,4.3,2774,1203,1571,2514,2379,22,0,10,41
14841,352,65921,85456,215,827,388,439,180,21.8,495,352,143,827,791,0,0,0,0
14842,306,69914,89555,216,930,482,448,134,14.4,767,306,461,930,930,0,0,0,0
14843,5540,56004,72261,3176,12212,6178,6034,2079,17,6353,5540,813,12452,11625,225,2,66,139
14845,8890,76617,97980,5304,20257,10160,10097,1459,7.2,9370,8890,480,20552,18583,422,0,511,84
14846,355,67361,75303,212,939,493,446,120,12.8,451,355,96,978,964,5,0,4,0
14847,929,72981,90157,583,2330,1167,1163,202,8.7,1253,929,324,2385,2241,9,15,26,14
14850,28527,69689,105902,12173,55269,27267,28002,10102,18.3,31772,28527,3245,66495,46992,3187,111,8815,2369
14853,0,-,-,0,0,0,0,0,-,0,0,0,2294,969,389,13,662,224
14854,58,-,98043,54,99,48,51,0,0,58,58,0,99,95,0,0,0,0
14855,300,71458,90175,225,880,404,476,91,10.3,379,300,79,890,857,0,0,0,1
14856,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
14858,525,75417,86011,365,1401,708,693,99,7.1,618,525,93,1405,1309,0,8,0,11
14859,414,90833,103964,330,1100,555,545,79,7.2,468,414,54,1100,1069,2,1,4,0
14860,480,75500,82387,242,1076,582,494,135,12.5,768,480,288,1079,1026,0,5,0,10
14861,556,60000,81054,377,1356,686,670,139,10.3,632,556,76,1356,1306,12,1,0,0
14864,522,63233,65232,228,1144,664,480,190,16.6,538,522,16,1144,1106,0,6,1,0
14865,1020,50227,62607,587,2550,1142,1408,639,25.1,1151,1020,131,2578,2379,22,9,10,10
14867,2304,67644,89962,1442,5188,2599,2589,458,8.8,2488,2304,184,5188,4890,20,23,0,0
14869,446,81310,94977,292,996,506,490,57,5.7,511,446,65,996,929,12,0,7,0
14870,4157,88514,112710,2803,9963,4925,5038,823,8.3,4691,4157,534,10086,8467,216,0,821,36
14871,1829,76445,95599,1308,4416,1992,2424,634,14.4,1978,1829,149,4497,4408,10,0,6,0
14872,254,60114,69359,196,596,345,251,71,11.9,268,254,14,596,581,15,0,0,0
14873,777,55038,65995,497,1917,952,965,218,11.4,1441,777,664,1937,1782,1,0,46,0
14874,56,88500,84336,40,166,81,85,15,9,119,56,63,166,166,0,0,0,0
